"TOA5","CR1000_2","CR1000","20988","CR1000.Std.21","CPU:bodemsensoren48x.CR1","63721","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2022-11-30 00:00:00",0,12.73
"2022-12-01 00:00:00",1,12.57
"2022-12-02 00:00:00",2,12.55
"2022-12-03 00:00:00",3,12.55
"2022-12-04 00:00:00",4,12.54
"2022-12-05 00:00:00",5,12.53
"2022-12-06 00:00:00",6,12.54
"2022-12-07 00:00:00",7,12.55
"2022-12-08 00:00:00",8,12.73
"2022-12-09 00:00:00",9,12.7
"2022-12-10 00:00:00",10,12.64
"2022-12-11 00:00:00",11,12.63
"2022-12-12 00:00:00",12,12.6
"2022-12-13 00:00:00",13,12.53
"2022-12-14 00:00:00",14,12.66
"2022-12-15 00:00:00",15,12.63
"2022-12-16 00:00:00",16,12.58
"2022-12-17 00:00:00",17,12.58
"2022-12-18 00:00:00",18,12.58
"2022-12-19 00:00:00",19,12.55
"2022-12-20 00:00:00",20,12.63
