TIMESTAMP;RECORD;BattV_Avg;PTemp_C_Avg;VW_Avg(1);PA_uS_Avg(1);VW_Avg(2);PA_uS_Avg(2);VW_Avg(3);PA_uS_Avg(3);VW_Avg(4);PA_uS_Avg(4);VW_Avg(5);PA_uS_Avg(5);VW_Avg(6);PA_uS_Avg(6);VW_Avg(7);PA_uS_Avg(7);VW_Avg(8);PA_uS_Avg(8);VW_Avg(9);PA_uS_Avg(9);VW_Avg(10);PA_uS_Avg(10);VW_Avg(11);PA_uS_Avg(11);VW_Avg(12);PA_uS_Avg(12);VW_Avg(13);PA_uS_Avg(13);VW_Avg(14);PA_uS_Avg(14);VW_Avg(15);PA_uS_Avg(15);VW_Avg(16);PA_uS_Avg(16);VW_Avg(17);PA_uS_Avg(17);VW_Avg(18);PA_uS_Avg(18);VW_Avg(19);PA_uS_Avg(19);VW_Avg(20);PA_uS_Avg(20);BattV_Max;BattV_TMx;PTemp_C_Max;PTemp_C_TMx;VW_Max(1);VW_TMx(1);PA_uS_Max(1);PA_uS_TMx(1);VW_Max(2);VW_TMx(2);PA_uS_Max(2);PA_uS_TMx(2);VW_Max(3);VW_TMx(3);PA_uS_Max(3);PA_uS_TMx(3);VW_Max(4);VW_TMx(4);PA_uS_Max(4);PA_uS_TMx(4);VW_Max(5);VW_TMx(5);PA_uS_Max(5);PA_uS_TMx(5);VW_Max(6);VW_TMx(6);PA_uS_Max(6);PA_uS_TMx(6);VW_Max(7);VW_TMx(7);PA_uS_Max(7);PA_uS_TMx(7);VW_Max(8);VW_TMx(8);PA_uS_Max(8);PA_uS_TMx(8);VW_Max(9);VW_TMx(9);PA_uS_Max(9);PA_uS_TMx(9);VW_Max(10);VW_TMx(10);PA_uS_Max(10);PA_uS_TMx(10);VW_Max(11);VW_TMx(11);PA_uS_Max(11);PA_uS_TMx(11);VW_Max(12);VW_TMx(12);PA_uS_Max(12);PA_uS_TMx(12);VW_Max(13);VW_TMx(13);PA_uS_Max(13);PA_uS_TMx(13);VW_Max(14);VW_TMx(14);PA_uS_Max(14);PA_uS_TMx(14);VW_Max(15);VW_TMx(15);PA_uS_Max(15);PA_uS_TMx(15);VW_Max(16);VW_TMx(16);PA_uS_Max(16);PA_uS_TMx(16);VW_Max(17);VW_TMx(17);PA_uS_Max(17);PA_uS_TMx(17);VW_Max(18);VW_TMx(18);PA_uS_Max(18);PA_uS_TMx(18);VW_Max(19);VW_TMx(19);PA_uS_Max(19);PA_uS_TMx(19);VW_Max(20);VW_TMx(20);PA_uS_Max(20);PA_uS_TMx(20);BattV_Min;BattV_TMn;PTemp_C_Min;PTemp_C_TMn;VW_Min(1);VW_TMn(1);PA_uS_Min(1);PA_uS_TMn(1);VW_Min(2);VW_TMn(2);PA_uS_Min(2);PA_uS_TMn(2);VW_Min(3);VW_TMn(3);PA_uS_Min(3);PA_uS_TMn(3);VW_Min(4);VW_TMn(4);PA_uS_Min(4);PA_uS_TMn(4);VW_Min(5);VW_TMn(5);PA_uS_Min(5);PA_uS_TMn(5);VW_Min(6);VW_TMn(6);PA_uS_Min(6);PA_uS_TMn(6);VW_Min(7);VW_TMn(7);PA_uS_Min(7);PA_uS_TMn(7);VW_Min(8);VW_TMn(8);PA_uS_Min(8);PA_uS_TMn(8);VW_Min(9);VW_TMn(9);PA_uS_Min(9);PA_uS_TMn(9);VW_Min(10);VW_TMn(10);PA_uS_Min(10);PA_uS_TMn(10);VW_Min(11);VW_TMn(11);PA_uS_Min(11);PA_uS_TMn(11);VW_Min(12);VW_TMn(12);PA_uS_Min(12);PA_uS_TMn(12);VW_Min(13);VW_TMn(13);PA_uS_Min(13);PA_uS_TMn(13);VW_Min(14);VW_TMn(14);PA_uS_Min(14);PA_uS_TMn(14);VW_Min(15);VW_TMn(15);PA_uS_Min(15);PA_uS_TMn(15);VW_Min(16);VW_TMn(16);PA_uS_Min(16);PA_uS_TMn(16);VW_Min(17);VW_TMn(17);PA_uS_Min(17);PA_uS_TMn(17);VW_Min(18);VW_TMn(18);PA_uS_Min(18);PA_uS_TMn(18);VW_Min(19);VW_TMn(19);PA_uS_Min(19);PA_uS_TMn(19);VW_Min(20);VW_TMn(20);PA_uS_Min(20);PA_uS_TMn(20)
20/09/2022 14:00;0;13.71;16.74;0.268;26.74;0.206;24.24;0.173;23.06;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.73;20/09/2022 13:56;17.16;20/09/2022 13:41;0.279;20/09/2022 13:56;27.15;20/09/2022 13:56;0.258;20/09/2022 13:55;26.49;20/09/2022 13:55;0.228;20/09/2022 13:54;25.49;20/09/2022 13:54;0.225;20/09/2022 14:00;25.39;20/09/2022 14:00;0.238;20/09/2022 13:55;25.82;20/09/2022 13:55;0.27;20/09/2022 13:59;26.88;20/09/2022 13:59;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.7;20/09/2022 13:43;16.39;20/09/2022 14:00;0.079;20/09/2022 13:41;19.6;20/09/2022 13:41;0.002;20/09/2022 13:44;15.38;20/09/2022 13:44;0.003;20/09/2022 13:44;15.44;20/09/2022 13:44;0;20/09/2022 13:46;15.25;20/09/2022 13:46;0.235;20/09/2022 13:43;25.74;20/09/2022 13:43;0.012;20/09/2022 13:45;15.98;20/09/2022 13:45;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 14:30;1;13.73;16.13;0.279;27.16;0.258;26.5;0.228;25.49;0.225;25.39;0.238;25.83;0.271;26.9;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.73;20/09/2022 14:01;16.36;20/09/2022 14:01;0.279;20/09/2022 14:12;27.17;20/09/2022 14:12;0.258;20/09/2022 14:09;26.5;20/09/2022 14:09;0.228;20/09/2022 14:03;25.5;20/09/2022 14:03;0.225;20/09/2022 14:10;25.4;20/09/2022 14:10;0.238;20/09/2022 14:16;25.84;20/09/2022 14:16;0.271;20/09/2022 14:14;26.91;20/09/2022 14:14;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.72;20/09/2022 14:02;15.97;20/09/2022 14:30;0.279;20/09/2022 14:01;27.15;20/09/2022 14:01;0.258;20/09/2022 14:01;26.49;20/09/2022 14:01;0.228;20/09/2022 14:01;25.49;20/09/2022 14:01;0.225;20/09/2022 14:01;25.38;20/09/2022 14:01;0.237;20/09/2022 14:01;25.81;20/09/2022 14:01;0.27;20/09/2022 14:03;26.88;20/09/2022 14:03;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 15:00;2;13.71;15.81;0.279;27.17;0.258;26.5;0.228;25.5;0.225;25.4;0.238;25.84;0.271;26.91;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.72;20/09/2022 14:31;15.97;20/09/2022 14:31;0.28;20/09/2022 14:46;27.18;20/09/2022 14:46;0.259;20/09/2022 14:43;26.52;20/09/2022 14:43;0.229;20/09/2022 14:58;25.53;20/09/2022 14:58;0.225;20/09/2022 14:31;25.4;20/09/2022 14:31;0.239;20/09/2022 14:52;25.85;20/09/2022 14:52;0.271;20/09/2022 14:31;26.91;20/09/2022 14:31;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.69;20/09/2022 14:40;15.63;20/09/2022 14:59;0.279;20/09/2022 14:31;27.17;20/09/2022 14:31;0.258;20/09/2022 14:31;26.5;20/09/2022 14:31;0.228;20/09/2022 14:48;25.49;20/09/2022 14:48;0.225;20/09/2022 14:39;25.39;20/09/2022 14:39;0.238;20/09/2022 14:34;25.82;20/09/2022 14:34;0.271;20/09/2022 14:33;26.9;20/09/2022 14:33;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 15:30;3;13.71;15.41;0.28;27.18;0.258;26.5;0.228;25.5;0.225;25.4;0.238;25.84;0.271;26.91;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.73;20/09/2022 15:20;15.6;20/09/2022 15:01;0.28;20/09/2022 15:01;27.18;20/09/2022 15:01;0.259;20/09/2022 15:24;26.52;20/09/2022 15:24;0.229;20/09/2022 15:01;25.53;20/09/2022 15:01;0.226;20/09/2022 15:29;25.42;20/09/2022 15:29;0.239;20/09/2022 15:01;25.85;20/09/2022 15:01;0.271;20/09/2022 15:03;26.91;20/09/2022 15:03;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.69;20/09/2022 15:07;15.29;20/09/2022 15:24;0.279;20/09/2022 15:07;27.17;20/09/2022 15:07;0.258;20/09/2022 15:01;26.5;20/09/2022 15:01;0.228;20/09/2022 15:03;25.5;20/09/2022 15:03;0.225;20/09/2022 15:01;25.4;20/09/2022 15:01;0.238;20/09/2022 15:03;25.84;20/09/2022 15:03;0.271;20/09/2022 15:01;26.9;20/09/2022 15:01;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 16:00;4;13.71;15.61;0.28;27.18;0.259;26.51;0.228;25.51;0.226;25.41;0.239;25.85;0.271;26.91;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.73;20/09/2022 15:33;16.09;20/09/2022 16:00;0.28;20/09/2022 15:31;27.18;20/09/2022 15:31;0.259;20/09/2022 15:31;26.52;20/09/2022 15:31;0.229;20/09/2022 15:37;25.53;20/09/2022 15:37;0.226;20/09/2022 15:31;25.42;20/09/2022 15:31;0.239;20/09/2022 15:53;25.87;20/09/2022 15:53;0.271;20/09/2022 15:31;26.91;20/09/2022 15:31;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.69;20/09/2022 15:52;15.31;20/09/2022 15:31;0.28;20/09/2022 15:31;27.18;20/09/2022 15:31;0.258;20/09/2022 15:33;26.5;20/09/2022 15:33;0.228;20/09/2022 15:31;25.5;20/09/2022 15:31;0.225;20/09/2022 15:32;25.4;20/09/2022 15:32;0.238;20/09/2022 15:31;25.84;20/09/2022 15:31;0.271;20/09/2022 15:46;26.9;20/09/2022 15:46;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 16:30;5;13.7;16.89;0.28;27.18;0.259;26.52;0.228;25.5;0.226;25.41;0.239;25.85;0.271;26.91;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.72;20/09/2022 16:29;17.46;20/09/2022 16:30;0.28;20/09/2022 16:01;27.18;20/09/2022 16:01;0.259;20/09/2022 16:02;26.53;20/09/2022 16:02;0.229;20/09/2022 16:11;25.51;20/09/2022 16:11;0.226;20/09/2022 16:03;25.42;20/09/2022 16:03;0.239;20/09/2022 16:17;25.87;20/09/2022 16:17;0.271;20/09/2022 16:01;26.91;20/09/2022 16:01;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.69;20/09/2022 16:02;16.14;20/09/2022 16:01;0.279;20/09/2022 16:29;27.17;20/09/2022 16:29;0.259;20/09/2022 16:01;26.52;20/09/2022 16:01;0.228;20/09/2022 16:05;25.49;20/09/2022 16:05;0.225;20/09/2022 16:01;25.4;20/09/2022 16:01;0.239;20/09/2022 16:01;25.85;20/09/2022 16:01;0.271;20/09/2022 16:02;26.9;20/09/2022 16:02;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 17:00;6;13.71;17.87;0.279;27.17;0.259;26.52;0.228;25.5;0.226;25.41;0.239;25.85;0.271;26.9;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.72;20/09/2022 16:33;18.58;20/09/2022 17:00;0.28;20/09/2022 16:31;27.18;20/09/2022 16:31;0.259;20/09/2022 16:55;26.53;20/09/2022 16:55;0.229;20/09/2022 16:55;25.54;20/09/2022 16:55;0.226;20/09/2022 16:31;25.42;20/09/2022 16:31;0.239;20/09/2022 16:31;25.87;20/09/2022 16:31;0.271;20/09/2022 16:31;26.91;20/09/2022 16:31;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.69;20/09/2022 16:38;17.49;20/09/2022 16:31;0.279;20/09/2022 16:38;27.17;20/09/2022 16:38;0.258;20/09/2022 16:58;26.5;20/09/2022 16:58;0.228;20/09/2022 16:32;25.49;20/09/2022 16:32;0.225;20/09/2022 16:34;25.4;20/09/2022 16:34;0.239;20/09/2022 16:32;25.85;20/09/2022 16:32;0.271;20/09/2022 16:33;26.9;20/09/2022 16:33;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 17:30;7;13.71;19.08;0.279;27.17;0.259;26.51;0.228;25.5;0.225;25.4;0.239;25.85;0.271;26.9;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.72;20/09/2022 17:15;19.31;20/09/2022 17:30;0.28;20/09/2022 17:07;27.18;20/09/2022 17:07;0.259;20/09/2022 17:01;26.52;20/09/2022 17:01;0.229;20/09/2022 17:29;25.54;20/09/2022 17:29;0.226;20/09/2022 17:23;25.42;20/09/2022 17:23;0.239;20/09/2022 17:01;25.85;20/09/2022 17:01;0.271;20/09/2022 17:03;26.91;20/09/2022 17:03;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.7;20/09/2022 17:02;18.64;20/09/2022 17:01;0.279;20/09/2022 17:01;27.17;20/09/2022 17:01;0.258;20/09/2022 17:06;26.5;20/09/2022 17:06;0.228;20/09/2022 17:06;25.49;20/09/2022 17:06;0.225;20/09/2022 17:01;25.4;20/09/2022 17:01;0.239;20/09/2022 17:01;25.85;20/09/2022 17:01;0.271;20/09/2022 17:01;26.9;20/09/2022 17:01;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 18:00;8;13.71;19.43;0.279;27.17;0.259;26.51;0.229;25.51;0.225;25.4;0.239;25.85;0.271;26.89;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.74;20/09/2022 17:46;19.52;20/09/2022 17:48;0.28;20/09/2022 17:31;27.18;20/09/2022 17:31;0.259;20/09/2022 17:31;26.52;20/09/2022 17:31;0.229;20/09/2022 17:44;25.54;20/09/2022 17:44;0.225;20/09/2022 17:31;25.4;20/09/2022 17:31;0.239;20/09/2022 17:31;25.85;20/09/2022 17:31;0.271;20/09/2022 17:31;26.9;20/09/2022 17:31;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.69;20/09/2022 17:33;19.34;20/09/2022 17:31;0.279;20/09/2022 17:32;27.17;20/09/2022 17:32;0.258;20/09/2022 17:39;26.5;20/09/2022 17:39;0.228;20/09/2022 17:32;25.5;20/09/2022 17:32;0.225;20/09/2022 17:54;25.39;20/09/2022 17:54;0.239;20/09/2022 17:31;25.85;20/09/2022 17:31;0.27;20/09/2022 17:50;26.88;20/09/2022 17:50;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
20/09/2022 18:30;9;13.72;18.72;0.279;27.17;0.258;26.5;0.228;25.5;0.225;25.39;0.238;25.84;0.27;26.89;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.75;20/09/2022 18:17;19.34;20/09/2022 18:01;0.28;20/09/2022 18:01;27.18;20/09/2022 18:01;0.258;20/09/2022 18:01;26.5;20/09/2022 18:01;0.229;20/09/2022 18:05;25.54;20/09/2022 18:05;0.225;20/09/2022 18:01;25.4;20/09/2022 18:01;0.239;20/09/2022 18:01;25.85;20/09/2022 18:01;0.271;20/09/2022 18:01;26.9;20/09/2022 18:01;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;13.7;20/09/2022 18:06;17.77;20/09/2022 18:30;0.279;20/09/2022 18:26;27.15;20/09/2022 18:26;0.258;20/09/2022 18:06;26.49;20/09/2022 18:06;0.227;20/09/2022 18:27;25.46;20/09/2022 18:27;0.225;20/09/2022 18:18;25.38;20/09/2022 18:18;0.238;20/09/2022 18:03;25.84;20/09/2022 18:03;0.27;20/09/2022 18:04;26.88;20/09/2022 18:04;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3;NAN;00:03.3
