SensorNumber;RawValue;KnownVWC
Sensor7;27.19282454;0.353
Sensor7;25.56028761;0.254
Sensor7;23.91311535;0.209
Sensor28;27.71150166;0.353
Sensor28;26.33733151;0.254
Sensor28;24.5169571;0.209
Sensor41;28.11824355;0.353
Sensor41;26.33733151;0.254
Sensor41;24.75345356;0.209
Sensor43;27.19282454;0.353
Sensor43;25.21834936;0.254
Sensor43;23.91311535;0.209
Sensor3;28.41876132;0.353
Sensor3;26.33733151;0.254
Sensor3;25.4469284;0.209
Sensor29;28.41876132;0.353
Sensor29;25.67303991;0.254
Sensor29;24.63555254;0.209
Sensor4;28.61702619;0.353
Sensor4;26.44609196;0.254
Sensor4;25.33295238;0.209
Sensor37;28.21883921;0.353
Sensor37;26.55431607;0.254
Sensor37;25.10310887;0.209
Sensor5;28.31901002;0.353
Sensor5;25.56028761;0.254
Sensor5;25.33295238;0.209
