date;time;air_temperature;rel_humidity;precipitation;wind_speed;wind_direction;radiation;radiation_short
05/17/2022;12:00 am;15.57;90.16;0.0;0.54;164.34;0.00;0.00
05/17/2022;1:00 am;15.20;95.71;0.0;0.49;200.82;0.00;0.00
05/17/2022;2:00 am;15.11;97.59;0.0;0.27;202.35;0.00;0.00
05/17/2022;3:00 am;14.91;92.53;0.0;0.71;181.64;0.00;0.00
05/17/2022;4:00 am;14.72;100.00;0.0;0.00;144.99;0.00;0.00
05/17/2022;5:00 am;14.84;99.63;0.0;0.32;275.28;0.00;0.00
05/17/2022;6:00 am;15.88;95.59;0.0;0.85;176.75;0.00;0.00
05/17/2022;7:00 am;16.18;95.61;0.0;1.44;295.16;0.13;17.25
05/17/2022;8:00 am;16.77;94.21;0.0;1.78;277.48;3.14;121.45
05/17/2022;9:00 am;17.17;87.86;0.0;1.16;144.45;74.66;312.90
05/17/2022;10:00 am;18.41;70.00;0.0;0.85;110.56;111.64;619.80
05/17/2022;11:00 am;20.31;65.00;0.0;1.52;156.80;158.04;785.60
05/17/2022;12:00 pm;22.49;58.00;0.0;4.20;192.38;206.35;904.90
05/17/2022;1:00 pm;23.94;53.00;0.0;3.89;205.91;224.60;967.00
05/17/2022;2:00 pm;24.81;42.00;0.0;4.60;235.62;232.70;953.40
05/17/2022;3:00 pm;25.31;42.00;0.0;4.60;224.12;264.38;881.80
05/17/2022;4:00 pm;25.53;42.00;0.0;4.11;251.57;247.43;759.20
05/17/2022;5:00 pm;24.88;40.00;0.0;4.42;232.35;220.90;606.90
05/17/2022;6:00 pm;26.18;36.00;0.0;3.18;245.85;181.01;414.60
05/17/2022;7:00 pm;26.60;30.00;0.0;3.16;280.95;148.82;213.20
05/17/2022;8:00 pm;26.21;33.00;0.0;2.77;282.53;99.36;39.00
05/17/2022;9:00 pm;25.51;38.00;0.0;1.33;282.99;46.94;0.00
05/17/2022;10:00 pm;22.65;51.00;0.0;0.85;45.00;8.10;0.00
05/17/2022;11:00 pm;22.04;70.19;0.0;1.26;32.02;0.01;0.00
05/18/2022;12:00 am;20.75;73.44;0.0;1.40;134.05;0.00;0.00
05/18/2022;1:00 am;18.00;69.00;0.0;1.94;101.00;0.00;0.00
05/18/2022;2:00 am;18.13;67.00;0.0;1.94;150.00;0.00;0.00
05/18/2022;3:00 am;18.00;65.00;0.0;1.94;150.00;0.00;0.00
05/18/2022;4:00 am;19.26;79.93;0.0;0.99;170.68;0.00;0.00
05/18/2022;5:00 am;18.00;71.00;0.1;1.67;191.00;0.00;0.00
05/18/2022;6:00 am;16.77;96.00;0.0;1.40;226.00;0.00;0.00
05/18/2022;7:00 am;18.37;97.65;0.0;1.82;245.87;0.26;24.00
05/18/2022;8:00 am;17.82;92.00;0.0;1.99;278.84;28.04;56.70
05/18/2022;9:00 am;17.47;82.00;0.0;3.20;271.79;78.23;212.50
05/18/2022;10:00 am;18.70;70.00;0.0;2.75;280.49;133.63;366.10
05/18/2022;11:00 am;19.83;61.00;0.0;3.04;279.46;187.16;517.20
05/18/2022;12:00 pm;21.20;52.00;0.0;2.13;318.81;233.21;640.20
05/18/2022;1:00 pm;22.09;52.00;0.0;1.89;327.99;265.25;734.20
05/18/2022;2:00 pm;22.66;51.00;0.0;2.00;306.87;282.92;788.10
05/18/2022;3:00 pm;23.38;51.00;0.0;1.33;192.99;284.80;795.80
05/18/2022;4:00 pm;24.36;48.00;0.0;1.91;263.99;270.79;759.80
05/18/2022;5:00 pm;25.43;44.00;0.0;1.50;273.81;241.56;676.10
05/18/2022;6:00 pm;25.57;43.00;0.0;1.26;288.43;200.09;560.80
05/18/2022;7:00 pm;25.33;42.00;0.0;1.06;131.19;151.74;424.70
05/18/2022;8:00 pm;24.88;44.00;0.0;1.72;54.46;98.21;271.10
05/18/2022;9:00 pm;24.49;50.00;0.0;2.33;59.04;45.72;126.40
05/18/2022;10:00 pm;22.95;55.00;0.0;2.15;62.24;8.28;23.20
05/18/2022;11:00 pm;21.19;62.00;0.0;2.12;81.87;0.00;0.00
05/19/2022;12:00 am;20.24;67.00;0.0;2.11;95.44;0.00;0.00
05/19/2022;1:00 am;19.95;68.00;0.0;2.89;104.04;0.00;0.00
