date;time;air_temperature;rel_humidity;precipitation;wind_speed;wind_direction;radiation;radiation_short
1/08/2022;0:00;19,62;88,63;0,0;;244,93;;0,00
1/08/2022;1:00;19,65;89,20;0,0;;265,43;;0,00
1/08/2022;2:00;19,38;93,58;0,0;2,79;262,08;0,00;0,00
1/08/2022;3:00;19,21;100,00;0,0;2,12;245,11;0,00;0,00
1/08/2022;4:00;18,69;100,00;0,0;2,15;224,52;0,00;0,00
1/08/2022;5:00;18,54;100,00;0,0;1,14;262,26;0,00;0,00
1/08/2022;6:00;18,10;100,00;0,0;1,30;331,59;0,00;0,00
1/08/2022;7:00;18,07;100,00;0,0;1,58;316,89;0,08;18,00
1/08/2022;8:00;18,49;100,00;0,0;1,08;235,34;5,35;140,00
1/08/2022;9:00;18,97;100,00;0,0;1,21;233,84;21,75;345,50
1/08/2022;10:00;19,73;100,00;0,0;2,01;177,01;45,97;538,50
1/08/2022;11:00;20,13;96,40;0,0;2,16;326,92;52,48;708,00
1/08/2022;12:00;20,35;89,10;0,0;;86,83;;842,00
1/08/2022;13:00;21,82;79,33;0,0;;327,89;;927,50
1/08/2022;14:00;22,88;72,16;0,0;;162,93;;958,50
1/08/2022;15:00;23,59;68,79;0,0;;221,44;;936,50
1/08/2022;16:00;24,85;63,96;0,0;;90,00;;865,50
1/08/2022;17:00;24,82;59,94;0,0;;182,29;;752,00
1/08/2022;18:00;25,72;45,33;0,0;2,33;262,87;163,34;600,50
1/08/2022;19:00;26,14;42,57;0,0;1,61;225,22;144,89;417,00
1/08/2022;20:00;26,09;42,26;0,0;2,05;258,65;122,72;217,50
1/08/2022;21:00;25,31;45,20;0,0;1,95;92,29;61,98;58,00
1/08/2022;22:00;23,79;50,52;0,0;1,96;105,57;14,16;0,00
1/08/2022;23:00;22,23;53,86;0,0;1,36;26,13;0,77;0,00
2/08/2022;0:00;21,02;61,23;0,0;1,10;268,42;0,00;0,00
2/08/2022;1:00;19,83;68,96;0,0;0,77;248,71;0,00;0,00
2/08/2022;2:00;18,49;76,86;0,0;0,33;202,17;0,00;0,00
2/08/2022;3:00;16,69;96,51;0,0;0,54;177,98;0,00;0,00
2/08/2022;4:00;16,86;96,78;0,0;1,10;232,26;0,00;0,00
2/08/2022;5:00;17,29;100,00;0,0;1,03;219,59;0,00;0,00
2/08/2022;6:00;16,90;100,00;0,0;1,34;222,40;0,00;0,00
2/08/2022;7:00;16,47;100,00;0,0;1,56;216,69;0,08;16,50
2/08/2022;8:00;15,54;100,00;0,0;0,99;179,74;9,36;136,50
2/08/2022;9:00;16,31;100,00;0,0;1,89;176,13;64,13;340,00
2/08/2022;10:00;18,32;100,00;0,0;3,10;207,80;75,55;530,00
2/08/2022;11:00;19,49;86,43;0,0;;216,42;;694,00
2/08/2022;12:00;21,32;73,97;0,0;;244,40;;825,00
2/08/2022;13:00;23,06;67,38;0,0;;251,62;;910,00
2/08/2022;14:00;24,32;62,58;0,0;;230,94;;926,50
2/08/2022;15:00;25,33;58,21;0,0;;244,31;;885,50
2/08/2022;16:00;26,75;55,61;0,0;;258,48;;810,50
2/08/2022;17:00;27,85;54,17;0,0;;237,63;;708,00
2/08/2022;18:00;27,92;54,65;0,0;;242,11;;571,50
2/08/2022;19:00;28,90;51,92;0,0;3,81;246,25;45,18;403,50
2/08/2022;20:00;28,04;53,80;0,0;3,08;241,41;65,35;212,50
2/08/2022;21:00;27,83;53,46;0,0;3,41;240,18;55,71;55,00
2/08/2022;22:00;26,31;59,06;0,0;2,65;241,23;6,65;0,00
2/08/2022;23:00;24,48;65,58;0,0;1,39;241,59;0,80;0,00
3/08/2022;0:00;22,23;77,54;0,0;1,03;244,66;0,00;0,00
3/08/2022;1:00;21,65;81,60;0,0;1,59;262,96;0,00;0,00
3/08/2022;2:00;19,51;95,92;0,0;0,81;199,27;0,00;0,00
3/08/2022;3:00;18,74;100,00;0,0;1,47;206,92;0,00;0,00
3/08/2022;4:00;18,43;100,00;0,0;1,55;212,91;0,00;0,00
3/08/2022;5:00;17,20;100,00;0,0;1,18;198,57;0,00;0,00
3/08/2022;6:00;16,24;100,00;0,0;1,03;180,09;0,00;0,00
3/08/2022;7:00;16,13;100,00;0,0;1,40;180,53;0,31;16,00
3/08/2022;8:00;16,68;100,00;0,0;1,36;180,97;15,87;136,50
3/08/2022;9:00;18,97;100,00;0,0;1,94;212,29;66,90;342,50
3/08/2022;10:00;21,59;94,74;0,0;3,05;234,46;66,62;531,50
3/08/2022;11:00;22,85;82,11;0,0;3,53;230,24;19,16;693,00
3/08/2022;12:00;24,27;73,21;0,0;;250,03;;816,50
3/08/2022;13:00;26,64;62,56;0,0;;211,94;;885,00
3/08/2022;14:00;28,38;55,72;0,0;;215,02;;902,00
3/08/2022;15:00;29,69;51,09;0,0;;221,35;;861,50
3/08/2022;16:00;30,88;47,23;0,0;;236,48;;779,00
3/08/2022;17:00;30,90;46,18;0,0;;225,22;;669,50
3/08/2022;18:00;32,14;42,89;0,0;;178,42;;528,00
3/08/2022;19:00;31,96;40,55;0,0;2,58;186,16;160,23;375,00
3/08/2022;20:00;32,65;38,47;0,0;2,34;215,54;123,79;202,50
3/08/2022;21:00;29,54;56,63;0,0;3,54;239,91;55,12;53,50
3/08/2022;22:00;28,06;62,01;0,0;2,34;249,50;15,96;0,00
3/08/2022;23:00;26,60;66,48;0,0;1,89;322,70;1,11;0,00
4/08/2022;0:00;24,92;72,65;0,0;1,61;316,81;0,00;0,00
4/08/2022;1:00;23,86;77,77;0,0;1,25;312,05;0,00;0,00
4/08/2022;2:00;22,84;84,50;0,0;0,93;297,63;0,00;0,00
4/08/2022;3:00;20,62;100,00;0,0;0,80;198,56;0,00;0,00
4/08/2022;4:00;20,15;100,00;0,0;0,24;226,10;0,00;0,00
4/08/2022;5:00;20,45;99,77;0,0;0,59;178,95;0,00;0,00
4/08/2022;6:00;19,16;100,00;0,0;0,00;234,19;0,00;0,00
4/08/2022;7:00;19,37;100,00;0,0;0,90;271,94;0,14;14,50
4/08/2022;8:00;18,33;100,00;0,0;0,70;231,73;5,45;134,00
4/08/2022;9:00;19,18;100,00;0,0;1,30;311,09;22,10;341,50
4/08/2022;10:00;19,48;100,00;0,0;1,77;237,01;33,06;538,00
4/08/2022;11:00;20,63;100,00;0,0;1,99;258,47;48,91;711,00
4/08/2022;12:00;20,69;100,00;0,0;1,37;287,16;28,00;848,00
4/08/2022;13:00;20,32;100,00;0,0;;333,08;;938,00
4/08/2022;14:00;22,62;91,99;0,0;;242,20;;972,00
4/08/2022;15:00;24,27;80,84;0,0;;170,50;;949,00
4/08/2022;16:00;26,74;70,21;0,0;;72,05;;874,00
4/08/2022;17:00;27,21;64,04;0,0;;171,12;;753,00
4/08/2022;18:00;27,40;60,04;0,0;2,55;309,50;94,86;591,50
4/08/2022;19:00;27,00;60,73;0,0;3,04;339,24;151,24;405,00
4/08/2022;20:00;25,26;64,21;0,0;2,78;312,32;89,26;208,50
4/08/2022;21:00;23,73;67,41;0,0;2,64;324,81;35,28;54,00
4/08/2022;22:00;22,65;70,12;0,0;2,16;210,09;6,58;0,00
4/08/2022;23:00;22,07;71,53;0,0;1,69;11,26;0,64;0,00
5/08/2022;0:00;21,77;72,09;0,0;1,89;251,17;0,00;0,00
5/08/2022;1:00;21,16;73,51;0,0;2,58;191,96;0,00;0,00
5/08/2022;2:00;20,52;79,81;0,0;2,79;343,11;0,00;0,00
5/08/2022;3:00;20,09;82,99;0,0;2,54;261,99;0,00;0,00
5/08/2022;4:00;19,75;83,85;0,0;2,39;177,45;0,00;0,00
5/08/2022;5:00;19,15;93,54;0,0;2,53;14,69;0,00;0,00
5/08/2022;6:00;19,02;96,31;0,0;1,38;320,77;0,00;0,00
5/08/2022;7:00;18,53;98,90;0,0;2,21;323,76;0,06;13,50
5/08/2022;8:00;18,01;99,99;0,0;1,89;338,71;3,22;132,00
5/08/2022;9:00;18,50;99,89;0,0;1,65;259,00;50,26;340,50
5/08/2022;10:00;19,92;90,83;0,0;2,60;188,62;116,35;538,50
5/08/2022;11:00;20,28;80,31;0,0;2,92;184,93;40,39;711,00
5/08/2022;12:00;20,09;76,64;0,0;;195,83;;842,00
5/08/2022;13:00;21,89;64,55;0,0;;200,33;;922,50
5/08/2022;14:00;21,59;62,00;0,0;;109,18;;948,00
5/08/2022;15:00;21,88;59,23;0,0;;259,62;;917,50
5/08/2022;16:00;21,86;56,93;0,0;;98,01;;840,00
5/08/2022;17:00;21,99;55,52;0,0;;179,47;;722,50
5/08/2022;18:00;21,46;52,53;0,0;;184,22;;561,50
5/08/2022;19:00;21,66;52,61;0,0;3,65;165,92;160,29;381,00
5/08/2022;20:00;20,74;52,24;0,0;3,64;174,11;115,59;197,00
5/08/2022;21:00;19,61;49,65;0,0;3,80;340,82;68,40;50,50
5/08/2022;22:00;18,32;53,03;0,0;2,51;333,96;7,16;0,00
5/08/2022;23:00;16,93;57,15;0,0;1,47;261,12;0,79;0,00
6/08/2022;0:00;13,85;71,52;0,0;0,20;236,22;0,00;0,00
6/08/2022;1:00;12,71;78,98;0,0;0,14;136,45;0,00;0,00
6/08/2022;2:00;11,42;86,20;0,0;0,00;39,06;0,00;0,00
6/08/2022;3:00;10,38;98,18;0,0;0,40;86,57;0,00;0,00
6/08/2022;4:00;9,87;100,00;0,0;1,22;203,58;0,00;0,00
6/08/2022;5:00;9,21;100,00;0,0;0,13;195,75;0,00;0,00
6/08/2022;6:00;8,91;100,00;0,0;1,11;195,05;0,00;0,00
6/08/2022;7:00;8,59;100,00;0,0;0,80;197,51;0,36;9,50
6/08/2022;8:00;8,75;100,00;0,0;0,70;177,71;14,52;109,00
6/08/2022;9:00;10,89;100,00;0,0;0,64;173,67;44,70;292,50
6/08/2022;10:00;14,72;91,58;0,0;1,10;148,42;84,41;463,00
