date;time;air_temperature;rel_humidity;precipitation;wind_speed;wind_direction;radiation;radiation_short
07/01/2022;12:00 am;12.32;100.00;0.0;1.02;158.01;0.00;0.00
07/01/2022;1:00 am;11.99;100.00;0.0;0.25;179.03;0.00;0.00
07/01/2022;2:00 am;12.09;100.00;0.0;1.34;204.02;0.00;0.00
07/01/2022;3:00 am;11.80;100.00;0.0;1.54;196.63;0.00;0.00
07/01/2022;4:00 am;11.56;100.00;0.0;1.59;213.79;0.00;0.00
07/01/2022;5:00 am;11.37;100.00;0.0;1.60;197.51;0.01;0.00
07/01/2022;6:00 am;10.63;100.00;0.0;1.46;232.79;0.29;21.00
07/01/2022;7:00 am;10.94;100.00;0.0;1.63;209.47;22.35;130.60
07/01/2022;8:00 am;12.50;100.00;0.0;2.06;183.52;99.79;320.60
07/01/2022;9:00 am;14.14;100.00;0.0;3.16;210.53;121.90;518.70
07/01/2022;10:00 am;15.52;94.84;0.0;2.76;237.80;19.77;696.80
07/01/2022;11:00 am;16.76;81.87;0.0;;230.06;;837.40
07/01/2022;12:00 pm;20.56;88.07;0.0;4.15;239.65;82.45;929.15
07/01/2022;1:00 pm;19.01;74.71;0.0;5.80;243.17;22.48;960.00
07/01/2022;2:00 pm;19.07;67.59;0.0;;241.85;;927.45
07/01/2022;3:00 pm;18.61;68.34;0.0;;277.57;;840.85
07/01/2022;4:00 pm;19.13;68.46;0.0;;255.31;;718.30
07/01/2022;5:00 pm;21.36;70.37;0.0;5.16;226.81;34.60;562.50
07/01/2022;6:00 pm;23.32;81.26;0.0;4.81;224.34;48.75;374.60
07/01/2022;7:00 pm;21.98;89.46;0.0;5.29;242.20;17.16;181.00
07/01/2022;8:00 pm;21.44;93.45;0.0;4.26;231.29;10.12;43.15
07/01/2022;9:00 pm;20.68;98.38;0.0;3.09;240.27;5.17;0.00
07/01/2022;10:00 pm;19.11;96.77;0.0;3.75;234.81;0.52;0.00
07/01/2022;11:00 pm;20.57;99.97;0.0;3.11;242.02;0.00;0.00
07/02/2022;12:00 am;20.19;100.00;0.0;3.11;228.56;0.00;0.00
07/02/2022;1:00 am;17.58;100.00;0.0;3.66;262.43;0.00;0.00
07/02/2022;2:00 am;10.67;100.00;0.0;;238.42;;0.00
07/02/2022;3:00 am;12.35;99.50;0.0;;221.96;;0.00
07/02/2022;4:00 am;10.48;100.00;0.0;0.28;182.20;0.00;0.00
07/02/2022;5:00 am;10.65;100.00;0.0;0.00;197.77;0.01;0.00
07/02/2022;6:00 am;10.54;100.00;0.0;0.64;215.72;1.60;20.15
07/02/2022;7:00 am;11.29;100.00;0.0;0.13;206.31;10.13;127.05
07/02/2022;8:00 am;13.94;100.00;0.0;1.45;171.55;90.20;314.35
07/02/2022;9:00 am;16.99;87.26;0.0;1.44;162.49;82.65;510.70
07/02/2022;10:00 am;19.23;66.48;0.0;2.01;166.98;38.82;688.00
07/02/2022;11:00 am;20.02;67.64;0.0;;166.98;;829.55
07/02/2022;12:00 pm;21.31;64.86;0.0;;173.49;;923.25
07/02/2022;1:00 pm;21.36;59.06;0.0;;217.74;;961.00
07/02/2022;2:00 pm;22.31;56.95;0.0;;200.32;;940.35
07/02/2022;3:00 pm;22.69;54.59;0.0;;218.36;;863.40
07/02/2022;4:00 pm;22.76;52.45;0.0;;244.75;;734.70
07/02/2022;5:00 pm;22.92;50.02;0.0;;224.34;;566.75
07/02/2022;6:00 pm;23.20;53.49;0.0;;228.91;;375.10
07/02/2022;7:00 pm;23.41;52.89;0.0;;223.46;;180.20
07/02/2022;8:00 pm;23.19;53.73;0.0;;231.47;;42.75
07/02/2022;9:00 pm;21.01;66.73;0.0;;157.21;;0.00
07/02/2022;10:00 pm;19.01;76.48;0.0;;92.20;;0.00
07/02/2022;11:00 pm;17.40;82.70;0.0;;177.19;;0.00
07/03/2022;12:00 am;16.07;88.27;0.0;;226.80;;0.00
07/03/2022;1:00 am;14.63;97.18;0.0;;289.71;;0.00
07/03/2022;2:00 am;14.48;93.60;0.0;;270.44;;0.00
07/03/2022;3:00 am;14.03;89.26;0.0;;286.36;;0.00
07/03/2022;4:00 am;13.63;87.99;0.0;;249.15;;0.00
07/03/2022;5:00 am;13.58;96.64;0.0;1.41;243.87;0.01;0.00
07/03/2022;6:00 am;13.08;100.00;0.0;1.51;213.26;1.93;19.75
07/03/2022;7:00 am;13.45;100.00;0.0;1.60;216.95;26.42;125.55
07/03/2022;8:00 am;14.88;100.00;0.0;2.27;226.89;42.65;311.85
