date;time;air_temperature;rel_humidity;precipitation;wind_speed;wind_direction;radiation;radiation_short
07/16/2022;10:00 am;21.22;76.07;0.0;2.66;307.92;19.39;804.00
07/16/2022;11:00 am;20.31;73.53;0.0;3.02;124.40;12.26;858.00
07/16/2022;12:00 pm;21.24;67.15;0.0;;44.43;;941.00
07/16/2022;1:00 pm;22.39;57.72;0.0;;51.82;;976.00
07/16/2022;2:00 pm;23.01;51.94;0.0;;121.50;;960.00
07/16/2022;3:00 pm;23.32;49.78;0.0;;189.50;;892.00
07/16/2022;4:00 pm;23.90;48.38;0.0;;51.82;;779.00
07/16/2022;5:00 pm;24.27;45.48;0.0;2.83;26.57;110.54;627.00
07/16/2022;6:00 pm;24.32;42.07;0.0;3.26;176.13;187.58;445.50
07/16/2022;7:00 pm;23.09;45.64;0.0;2.34;114.46;75.74;247.50
07/16/2022;8:00 pm;21.69;51.35;0.0;;42.58;;73.00
07/16/2022;9:00 pm;20.31;55.47;0.0;;53.84;;0.00
07/16/2022;10:00 pm;17.82;64.85;0.0;;45.84;;0.00
07/16/2022;11:00 pm;16.38;71.12;0.0;1.80;36.69;0.00;0.00
07/17/2022;12:00 am;16.38;71.21;0.0;1.25;260.50;0.00;0.00
07/17/2022;1:00 am;11.74;89.67;0.0;;252.93;;0.00
07/17/2022;2:00 am;10.47;97.47;0.0;;193.11;;0.00
07/17/2022;3:00 am;9.53;99.80;0.0;;263.40;;0.00
07/17/2022;4:00 am;9.23;100.00;0.0;;236.83;;0.00
07/17/2022;5:00 am;10.15;100.00;0.0;0.58;293.23;0.00;0.00
07/17/2022;6:00 am;11.23;100.00;0.0;0.39;196.10;1.18;34.50
07/17/2022;7:00 am;12.04;100.00;0.0;0.52;193.37;23.02;171.00
07/17/2022;8:00 am;14.78;97.75;0.0;1.68;33.61;75.16;373.50
07/17/2022;9:00 am;16.57;80.85;0.0;1.49;113.40;221.24;534.00
07/17/2022;10:00 am;19.09;57.00;0.0;2.04;78.69;215.64;805.00
07/17/2022;11:00 am;20.84;49.00;0.0;2.02;69.78;259.56;915.00
07/17/2022;12:00 pm;22.15;45.00;0.0;1.50;86.19;;975.00
07/17/2022;1:00 pm;23.82;40.00;0.0;2.12;98.13;;983.00
07/17/2022;2:00 pm;24.69;36.00;0.0;1.84;45.00;;0.00
07/17/2022;3:00 pm;25.60;34.00;0.0;2.69;68.20;;0.00
07/17/2022;4:00 pm;26.07;34.00;0.0;2.55;64.44;;0.00
07/17/2022;5:00 pm;26.63;32.00;0.0;3.13;73.30;;0.00
07/17/2022;6:00 pm;26.43;34.00;0.0;3.20;88.21;;0.00
07/17/2022;7:00 pm;27.68;32.73;0.0;2.16;77.42;26.64;0.00
07/17/2022;8:00 pm;27.49;32.82;0.0;1.79;121.94;70.89;0.00
07/17/2022;9:00 pm;26.31;37.79;0.0;1.65;137.51;16.73;0.00
07/17/2022;10:00 pm;23.46;50.31;0.0;0.70;84.99;3.46;0.00
07/17/2022;11:00 pm;20.71;60.10;0.0;0.55;253.72;0.02;0.00
07/18/2022;12:00 am;19.69;64.28;0.0;0.95;276.42;0.00;0.00
07/18/2022;1:00 am;19.14;69.04;0.0;0.75;169.44;0.00;0.00
07/18/2022;2:00 am;16.69;82.05;0.0;0.13;204.89;0.00;0.00
07/18/2022;3:00 am;16.00;91.46;0.0;0.37;296.57;0.00;0.00
07/18/2022;4:00 am;16.76;88.84;0.0;0.20;168.12;0.00;0.00
07/18/2022;5:00 am;16.31;89.21;0.0;0.58;196.10;0.00;0.00
07/18/2022;6:00 am;15.06;94.92;0.0;0.54;260.76;1.06;33.50
07/18/2022;7:00 am;16.13;89.98;0.0;1.12;192.85;20.12;169.50
07/18/2022;8:00 am;17.70;86.67;0.0;0.14;178.07;65.84;372.50
07/18/2022;9:00 am;20.41;64.73;0.0;0.70;157.57;67.02;564.00
07/18/2022;10:00 am;23.70;56.57;0.0;2.06;173.93;35.79;730.50
07/18/2022;11:00 am;26.43;47.48;0.0;;215.28;;860.00
07/18/2022;12:00 pm;28.40;43.66;0.0;;252.32;;942.50
07/18/2022;1:00 pm;30.09;37.92;0.0;;225.22;;968.50
07/18/2022;2:00 pm;31.16;30.22;0.0;;283.28;;938.00
07/18/2022;3:00 pm;32.41;30.75;0.0;;193.46;;858.50
07/18/2022;4:00 pm;33.27;28.49;0.0;;232.43;;751.50
07/18/2022;5:00 pm;33.94;26.25;0.0;;257.95;;615.00
07/18/2022;6:00 pm;34.82;26.28;0.0;;216.25;;439.50
07/18/2022;7:00 pm;34.85;26.43;0.0;;184.22;;244.00
07/18/2022;8:00 pm;33.11;36.97;0.0;;122.64;;71.50
07/18/2022;9:00 pm;29.17;46.92;0.0;;140.85;;0.00
07/18/2022;10:00 pm;26.76;48.18;0.0;0.00;162.58;2.12;0.00
07/18/2022;11:00 pm;24.75;55.90;0.0;0.13;194.69;0.06;0.00
07/19/2022;12:00 am;24.06;56.51;0.0;0.23;237.36;0.00;0.00
07/19/2022;1:00 am;23.89;55.84;0.0;0.00;205.69;0.00;0.00
07/19/2022;2:00 am;23.40;56.94;0.0;0.00;146.40;0.00;0.00
07/19/2022;3:00 am;21.45;65.23;0.0;0.30;283.02;0.00;0.00
07/19/2022;4:00 am;21.67;66.73;0.0;0.60;198.12;0.00;0.00
07/19/2022;5:00 am;20.78;70.42;0.0;0.56;156.33;0.00;0.00
07/19/2022;6:00 am;20.52;72.29;0.0;1.03;158.98;0.52;32.00
07/19/2022;7:00 am;20.34;74.51;0.0;0.89;68.71;13.45;166.50
07/19/2022;8:00 am;22.75;61.85;0.0;1.11;178.86;57.85;369.00
07/19/2022;9:00 am;26.24;49.15;0.0;1.34;133.99;110.39;561.00
07/19/2022;10:00 am;28.73;44.25;0.0;1.80;117.71;90.03;729.50
07/19/2022;11:00 am;29.87;43.30;0.0;1.99;157.83;12.88;862.00
07/19/2022;12:00 pm;32.02;37.70;0.0;;155.19;;949.50
07/19/2022;1:00 pm;34.13;31.07;0.0;;167.69;;986.00
07/19/2022;2:00 pm;35.65;27.51;0.0;;158.01;;967.50
07/19/2022;3:00 pm;36.64;25.38;0.0;;156.42;;896.50
07/19/2022;4:00 pm;37.37;22.66;0.0;;147.45;;782.50
07/19/2022;5:00 pm;37.84;21.57;0.0;;185.28;;630.00
07/19/2022;6:00 pm;38.69;19.49;0.0;2.34;163.73;92.27;446.00
07/19/2022;7:00 pm;38.72;17.83;0.0;3.29;138.39;142.78;245.50
07/19/2022;8:00 pm;36.84;21.17;0.0;2.38;173.58;50.31;71.50
07/19/2022;9:00 pm;33.86;27.02;0.0;0.49;151.94;5.05;0.00
07/19/2022;10:00 pm;30.26;34.21;0.0;0.17;90.26;3.05;0.00
07/19/2022;11:00 pm;29.59;34.47;0.0;0.29;213.17;0.03;0.00
07/20/2022;12:00 am;29.83;32.63;0.0;1.21;265.95;0.00;0.00
07/20/2022;1:00 am;26.99;43.96;0.0;2.55;235.42;0.00;0.00
07/20/2022;2:00 am;24.81;58.07;0.0;2.71;247.92;0.00;0.00
07/20/2022;3:00 am;23.14;72.31;0.0;3.70;240.97;0.00;0.00
07/20/2022;4:00 am;22.24;78.75;0.0;2.78;246.86;0.00;0.00
07/20/2022;5:00 am;21.46;82.91;0.0;2.23;219.24;0.00;0.00
07/20/2022;6:00 am;20.42;91.29;0.0;2.16;221.88;0.96;31.00
07/20/2022;7:00 am;20.13;93.50;0.0;1.92;223.55;16.57;164.00
07/20/2022;8:00 am;20.98;87.04;0.0;3.97;223.99;33.17;367.00
07/20/2022;9:00 am;20.71;85.73;0.4;3.49;214.67;20.77;559.50
07/20/2022;10:00 am;19.33;98.98;0.8;2.03;250.12;32.89;728.00
07/20/2022;11:00 am;20.03;100.00;0.0;1.90;199.09;53.80;861.50
07/20/2022;12:00 pm;19.75;100.00;0.2;2.23;189.24;40.74;949.50
07/20/2022;1:00 pm;21.01;92.79;0.2;2.86;210.35;122.84;986.00
07/20/2022;2:00 pm;21.02;86.94;0.0;;229.00;;968.50
07/20/2022;3:00 pm;21.95;93.86;0.0;3.08;204.37;72.30;898.50
07/20/2022;4:00 pm;23.26;88.39;0.0;2.77;193.73;89.21;781.50
07/20/2022;5:00 pm;23.55;85.07;0.0;2.18;187.74;60.51;623.50
07/20/2022;6:00 pm;22.94;90.30;0.0;2.02;159.59;23.68;438.50
07/20/2022;7:00 pm;21.22;98.10;0.2;2.61;171.38;16.21;241.50
07/20/2022;8:00 pm;19.33;100.00;0.0;2.82;194.52;10.76;70.50
07/20/2022;9:00 pm;18.97;100.00;0.0;1.98;206.75;9.67;0.00
07/20/2022;10:00 pm;18.63;100.00;0.0;1.60;155.89;2.58;0.00
07/20/2022;11:00 pm;18.30;100.00;0.0;1.86;192.32;0.02;0.00
07/21/2022;12:00 am;18.17;100.00;0.0;1.82;213.35;0.00;0.00
07/21/2022;1:00 am;18.09;100.00;0.0;2.01;216.33;0.00;0.00
07/21/2022;2:00 am;17.92;100.00;0.0;2.46;209.47;0.00;0.00
07/21/2022;3:00 am;17.53;100.00;0.0;2.32;214.31;0.00;0.00
07/21/2022;4:00 am;17.06;100.00;0.0;1.89;215.11;0.00;0.00
07/21/2022;5:00 am;17.37;100.00;0.0;2.59;206.39;0.00;0.00
07/21/2022;6:00 am;17.49;100.00;0.2;2.82;226.01;0.05;30.00
07/21/2022;7:00 am;17.26;100.00;1.2;2.56;236.04;0.90;163.50
07/21/2022;8:00 am;17.37;100.00;0.4;2.70;230.59;4.59;369.00
07/21/2022;9:00 am;17.68;100.00;0.0;2.86;232.17;9.53;563.00
07/21/2022;10:00 am;17.60;100.00;0.0;2.16;254.16;15.91;731.50
07/21/2022;11:00 am;17.28;100.00;0.0;2.15;281.44;19.03;863.50
07/21/2022;12:00 pm;17.59;100.00;0.2;1.57;247.39;56.51;950.00
07/21/2022;1:00 pm;18.04;100.00;0.0;3.07;250.03;54.27;985.50
07/21/2022;2:00 pm;18.65;100.00;0.0;1.77;215.81;55.11;967.00
07/21/2022;3:00 pm;18.83;100.00;0.0;1.81;310.73;40.55;896.00
07/21/2022;4:00 pm;18.99;100.00;0.0;2.39;300.09;54.49;779.00
07/21/2022;5:00 pm;19.68;99.69;0.0;2.12;239.12;75.83;625.00
07/21/2022;6:00 pm;19.57;98.42;0.0;2.44;322.87;52.51;442.50
07/21/2022;7:00 pm;19.19;96.81;0.0;2.41;301.67;29.27;243.00
07/21/2022;8:00 pm;19.06;93.63;0.0;3.04;326.74;50.44;70.50
07/21/2022;9:00 pm;18.81;90.80;0.0;2.41;339.15;20.33;0.00
07/21/2022;10:00 pm;17.96;94.36;0.0;2.22;234.37;2.02;0.00
07/21/2022;11:00 pm;17.26;98.82;0.0;1.85;241.67;0.01;0.00
07/22/2022;12:00 am;16.93;100.00;0.0;1.69;245.55;0.00;0.00
07/22/2022;1:00 am;16.17;100.00;0.0;1.44;329.47;0.00;0.00
07/22/2022;2:00 am;14.69;100.00;0.0;0.30;271.59;0.00;0.00
07/22/2022;3:00 am;13.37;100.00;0.0;0.13;202.43;0.00;0.00
07/22/2022;4:00 am;13.79;100.00;0.0;1.03;256.54;0.00;0.00
07/22/2022;5:00 am;12.62;100.00;0.0;0.97;220.65;0.00;0.00
07/22/2022;6:00 am;12.88;100.00;0.0;0.00;221.35;0.74;29.00
07/22/2022;7:00 am;14.42;100.00;0.0;0.91;180.53;12.06;161.00
07/22/2022;8:00 am;15.70;100.00;0.0;0.84;116.04;24.61;365.50
07/22/2022;9:00 am;17.32;98.68;0.0;2.00;52.44;69.69;559.00
07/22/2022;10:00 am;18.49;87.48;0.0;1.55;9.50;65.41;753.67
07/22/2022;11:00 am;18.54;78.66;0.0;1.67;49.79;26.60;861.00
07/22/2022;12:00 pm;19.77;75.37;0.0;;100.56;;948.00
07/22/2022;1:00 pm;20.15;73.44;0.0;;68.97;;983.50
07/22/2022;2:00 pm;20.67;72.15;0.0;;79.97;;964.50
07/22/2022;3:00 pm;21.08;69.57;0.0;;68.18;;892.00
07/22/2022;4:00 pm;20.88;71.59;0.0;;67.30;;775.00
07/22/2022;5:00 pm;22.02;70.85;0.0;2.43;159.41;58.28;622.50
07/22/2022;6:00 pm;20.57;84.82;0.0;2.02;120.62;20.54;440.50
07/22/2022;7:00 pm;20.17;89.73;0.0;1.83;43.37;21.73;241.00
07/22/2022;8:00 pm;19.58;93.99;0.0;1.84;94.13;18.90;69.50
07/22/2022;9:00 pm;19.16;93.55;0.0;1.76;117.89;9.75;0.00
07/22/2022;10:00 pm;18.53;93.54;0.0;2.22;153.61;2.02;0.00
07/22/2022;11:00 pm;17.94;96.60;0.0;2.30;343.81;0.00;0.00
07/23/2022;12:00 am;17.49;99.75;0.0;1.45;253.11;0.00;0.00
07/23/2022;1:00 am;16.65;100.00;0.0;1.11;189.33;0.00;0.00
07/23/2022;2:00 am;15.97;100.00;0.0;1.19;191.44;0.00;0.00
07/23/2022;3:00 am;15.22;100.00;0.0;0.94;197.69;0.00;0.00
07/23/2022;4:00 am;14.40;100.00;0.0;0.30;308.10;0.00;0.00
07/23/2022;5:00 am;13.09;100.00;0.0;0.24;289.09;0.00;0.00
07/23/2022;6:00 am;12.24;100.00;0.0;0.00;312.50;0.86;28.00
07/23/2022;7:00 am;12.44;100.00;0.0;0.00;322.79;18.63;159.50
07/23/2022;8:00 am;14.52;100.00;0.0;0.97;146.22;42.56;365.00
07/23/2022;9:00 am;17.19;100.00;0.0;1.52;42.32;102.85;559.50
07/23/2022;10:00 am;19.10;95.28;0.0;1.51;110.06;131.99;729.00
07/23/2022;11:00 am;20.89;75.77;0.0;;138.30;;862.50
07/23/2022;12:00 pm;22.46;66.08;0.0;;147.19;;949.50
07/23/2022;1:00 pm;23.88;59.85;0.0;;121.49;;985.50
07/23/2022;2:00 pm;25.00;55.12;0.0;;207.45;;969.50
07/23/2022;3:00 pm;25.66;56.16;0.0;;261.99;;900.00
07/23/2022;4:00 pm;25.91;53.05;0.0;;289.01;;783.50
07/23/2022;5:00 pm;26.29;54.10;0.0;;238.68;;629.00
07/23/2022;6:00 pm;26.85;50.93;0.0;;201.73;;444.50
